Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
043,284480,284480,585,585,439.916069049245,4.41741851084474,0.693296863769862,0.72576317723945,0.968027504236609,610.162332694289,609.375
044,193353,193353,501,501,395.525622855537,4.31148951500213,0.693543944218973,0.720958879115465,0.96537566779674,531.711493352479,538.434782608696
045,112337,112337,287,287,231.107462251683,3.40500283889244,0.601645646912845,0.625588123002686,0.92801524596216,304.833664079004,306.5
046,108570,108570,278,278,223.817243755233,3.36422405386418,0.597805713266631,0.621757503309637,0.924614914467172,301.345837285821,294.24
047,118950,118950,234,234,188.807145700512,3.36718551121206,0.617229570910654,0.642503623797298,0.921490708686293,252.204657938533,248.055555555556
048,80206,80206,217,217,185.30380518266,3.2650897113051,0.606905577697756,0.625256950297169,0.913397467894259,229.310417737081,234.769230769231
049,178551,178551,218,218,172.085759752185,3.37468801896719,0.626741779798225,0.655534700215477,0.930483390178902,239.124177481608,252.5
050,188801,188801,161,161,117.740023147101,3.25868970782832,0.641297065489155,0.683381369131532,0.932081222652834,191.146059782609,191
051,142318,142318,217,217,180.215570710799,2.90894125184231,0.540705716239728,0.560041421990787,0.824356115370011,227.266725076663,227.909090909091
052,138817,138817,429,429,318.235255403009,3.50824767902169,0.578779611229528,0.608775806057754,0.934985781424635,452.918740768678,445.108695652174
053,216315,216315,238,238,169.351380127075,2.70518081653474,0.494343386475759,0.527122683250704,0.875324659384893,254.453397450353,250.545454545455
054,216310,216310,304,304,217.337857357864,3.47551374635456,0.607923195037114,0.645831839246254,0.941212928841031,321.416091893761,318.625
055,176052,176052,196,196,165.323317044559,2.82767625485347,0.535736041639101,0.553588473597459,0.810289052368409,204.143464305198,203.333333333333
056,195889,195889,161,161,123.283816915742,2.60469205566396,0.512592950408094,0.541011096606835,0.806364486472265,173.885127783091,169.571428571429
057,162530,162530,178,178,140.012578187474,3.12682110416831,0.603425649454628,0.632737861523836,0.905426349830265,186.780158454546,184.5
058,31347,31347,192,192,184.486777728671,3.37910773970678,0.642721961808114,0.647639167475512,0.925350508461586,204.993960819474,211.25
